lg_SLA,lg_Na,SLA,Na,treatment
cm2 g-1,g m-2,cm2 g-1,g m-2,
2.113696068,-0.248394839,129.926,0.564423595,CO2-C
2.023046584,0.156420419,105.45,1.433575,CO2-C
2.254668899,0.055353481,179.75,1.135935,CO2-C
2.225546011,0.304035745,168.0916,2.01389,CO2-C
1.829946696,0.211445989,67.6,1.627218935,CO2-C
2.079777991,0.374479794,120.165,2.368534931,CO2-C
2.126142776,0.184691431,133.7035,1.53,CO2-C
2.537579853,-0.309693148,344.81,0.490124996,CO2-C
2.672596548,-0.38839148,470.54,0.408891911,CO2-C
2.083860801,-0.164782708,121.3,0.684253916,CO2-C
2.325138859,-0.272060416,211.4164905,0.53449,CO2-C
2.212187604,0.071113624,163,1.17791411,CO2-C
2.214843848,0.018152262,164,1.042682927,CO2-C
2.167612673,-0.203824845,147.1,0.625424881,CO2-C
2.252853031,-0.188395042,179,0.648044693,CO2-C
2.33243846,-0.253257214,215,0.558139535,CO2-C
2.209515015,-0.137633007,162,0.728395062,CO2-C
2.006387734,0.180412633,101.4817,1.515,CO2-E
1.850019149,0.229484079,70.7977,1.69622742,CO2-E
1.931495501,-0.00617386,85.4074,0.985884731,CO2-E
2.254144805,0.28780173,179.5332136,1.94,CO2-E
2.28433838,0.292326971,192.4590688,1.96032,CO2-E
2.005695181,0.30859348,101.32,2.035136202,CO2-E
2.380881167,-0.204119983,240.3705,0.625,CO2-E
2.424961631,0.118576251,266.049,1.313942169,CO2-E
2.19314197,0.089905111,156.0062402,1.23,CO2-E
2.347785217,-0.178684489,222.7333333,0.662697773,CO2-E
2.159266331,-0.291747411,144.3,0.510802,CO2-E
2.190331698,-0.040958608,155,0.91,CO2-E
2.171984936,0.089905111,148.5884101,1.23,CO2-E
2.025510673,0.173637816,106.05,1.49155,CO2-E
2.148619938,-0.006645492,140.8056034,0.984814667,CO2-E
2.256236533,-0.023714459,180.4,0.9468595,CO2-E
2.176091259,0.175016741,150,1.496293333,CO2-E
2.517195898,0.045322979,329,1.11,CO2-E
2.058953387,-0.289969841,114.539,0.512897,CO2-E
1.877507833,0.141134423,75.4237,1.383994686,CO2-E
2.460597189,-0.042295898,288.8,0.907202216,CO2-E
2.177054324,-0.060251486,150.333,0.870459388,CO2-E
2.361510743,0.269512944,229.8850575,1.86,CO2-E
1.914010035,0.08705924,82.03705,1.221966332,CO2-E
